Name;Firstname;OU;Password
Simon;Elise;Elev;Passord1
Peter;Maren;Elev;Passord1
Roald;Hanna;Elev;Passord1
Sigmund;Lillian;Elev;Passord1
Steffen;Lena;Elev;Passord1
Mads;Brit;Elev;Passord1
Torgeir;Vigdis;Elev;Passord1
Jakob;Therese;Elev;Passord1
Michael;Frida;Elev;Passord1
Arnt;Amalie;Elev;Passord1
Willy;Ingvild;Elev;Passord1
Joachim;Ingunn;Elev;Passord1
Ørjan;Bodil;Elev;Passord1
Carl;Charlotte;Elev;Passord1
Runar;Signe;Elev;Passord1
Bernt;Lisbeth;Elev;Passord1
Marcus;Sandra;Elev;Passord1
Harry;Christine;Elev;Passord1
Tormod;Victoria;Elev;Passord1
Halvor;Marthe;Elev;Passord1
Dagfinn;Caroline;Elev;Passord1
Arnfinn;Mia;Elev;Passord1
Raymond;Tina;Elev;Passord1
Truls;Merete;Elev;Passord1
William;Oda;Elev;Passord1
Magnar;Trude;Elev;Passord1
Olaf;Vibeke;Elev;Passord1
Richard;Henriette;Elev;Passord1
Jonny;Johanne;Elev;Passord1
Mohammad;Lisa;Elev;Passord1
Christer;Gunvor;Elev;Passord1
Elias;Katrine;Elev;Passord1
Oddbjørn;Mary;Elev;Passord1
Cato;Torunn;Elev;Passord1
Ruben;Kirsti;Elev;Passord1
Ketil;Beate;Elev;Passord1
Endre;Marita;Elev;Passord1
Oskar;Christina;Elev;Passord1
Ulf;Sonja;Elev;Passord1
Herman;Hedda;Elev;Passord1
Kevin;Susanne;Elev;Passord1
Henry;Tuva;Elev;Passord1
Georg;Aslaug;Elev;Passord1
Christopher;Gry;Elev;Passord1
Kent;Kristina;Elev;Passord1
Yngve;Aase;Elev;Passord1
Bent;Toril;Elev;Passord1
Nikolai;Renate;Elev;Passord1
Otto;Kine;Elev;Passord1
Ottar;Guro;Elev;Passord1
Are;Maja;Elev;Passord1
Aksel;Helga;Elev;Passord1
Haakon;Mathilde;Elev;Passord1
Patrick;Ane;Elev;Passord1
Dan;Aina;Elev;Passord1
Bjarte;Jeanette;Elev;Passord1
Karsten;Sunniva;Elev;Passord1
Åsmund;Ingebjørg;Elev;Passord1
Vetle;Eline;Elev;Passord1
Sigbjørn;Solfrid;Elev;Passord1
Jo;Rigmor;Elev;Passord1
Isak;Margit;Elev;Passord1
Tomas;Gunhild;Elev;Passord1
Ingar;Veronica;Elev;Passord1
Ali;Sølvi;Elev;Passord1
Preben;Ella;Elev;Passord1
Edvard;Elsa;Elev;Passord1
Asle;Linnea;Elev;Passord1
Amund;Synne;Elev;Passord1
Mikael;Birgit;Elev;Passord1
Oliver;Kaja;Elev;Passord1
Sivert;Anja;Elev;Passord1
Børge;Pernille;Elev;Passord1
Aage;Monika;Elev;Passord1
Fred;Gudrun;Elev;Passord1
Gaute;Olaug;Elev;Passord1
Sveinung;Agnes;Elev;Passord1
Ernst;Mina;Elev;Passord1
Oddmund;Aurora;Elev;Passord1
Jacob;Magnhild;Elev;Passord1
Thorbjørn;Sarah;Elev;Passord1
Bengt;Mariann;Elev;Passord1
Sten;Jorun;Elev;Passord1
Trym;Åshild;Elev;Passord1
Nicolai;Anne-Lise;Elev;Passord1
Bendik;Pia;Elev;Passord1
Arthur;Lill;Elev;Passord1
Jarl;Kathrine;Elev;Passord1
Torleif;Ina;Elev;Passord1
Alfred;Julia;Elev;Passord1
Hallvard;Selma;Elev;Passord1
Halvard;Celine;Elev;Passord1
Tony;Olga;Elev;Passord1
Jim;Margrethe;Elev;Passord1
Jesper;Inga;Elev;Passord1
Mikkel;Hannah;Elev;Passord1
Viggo;Karina;Elev;Passord1
Idar;Iselin;Elev;Passord1
Anton;Amanda;Elev;Passord1
Oscar;Sigrun;Elev;Passord1
Ingvar;Miriam;Elev;Passord1
Ken;Erna;Elev;Passord1
Leiv;Helen;Elev;Passord1
Mohamed;Torhild;Elev;Passord1
Jonathan;Benedicte;Elev;Passord1
Snorre;Marta;Elev;Passord1
Vegar;Birgitte;Elev;Passord1
Gustav;Lilly;Elev;Passord1
Thore;Edith;Elev;Passord1
Victor;Evy;Elev;Passord1
Remi;Eirin;Elev;Passord1
Philip;Rikke;Elev;Passord1
Kasper;Anniken;Elev;Passord1
Tord;Borghild;Elev;Passord1
Vebjørn;June;Elev;Passord1
Kolbjørn;Karianne;Elev;Passord1
Eskil;Tiril;Elev;Passord1
Stefan;Martha;Elev;Passord1
Iver;Helle;Elev;Passord1
Joar;Carina;Elev;Passord1
Gjermund;Malene;Elev;Passord1
Edvin;Svanhild;Elev;Passord1
Rasmus;Lina;Elev;Passord1
Viktor;Klara;Elev;Passord1
Dennis;Merethe;Elev;Passord1
Sigve;Edel;Elev;Passord1
Freddy;Annette;Elev;Passord1
Mohammed;Jane;Elev;Passord1
Ahmed;Anny;Elev;Passord1
Brage;Guri;Elev;Passord1
Gudmund;Sidsel;Elev;Passord1
Arnold;Tordis;Elev;Passord1
Svenn;Johanna;Elev;Passord1
Kjartan;Målfrid;Elev;Passord1
Gisle;Leah;Elev;Passord1
Chris;Ellinor;Elev;Passord1
Hugo;Hjørdis;Elev;Passord1
Sjur;Tine;Elev;Passord1
Filip;Kamilla;Elev;Passord1
Niklas;Rebecca;Elev;Passord1
Torfinn;Ester;Elev;Passord1
Øistein;Live;Elev;Passord1
Odin;Kjellaug;Elev;Passord1
Thorleif;Astri;Elev;Passord1
Aslak;Vera;Elev;Passord1
Asgeir;Siw;Elev;Passord1
Ivan;Evelyn;Elev;Passord1
Gard;Maiken;Elev;Passord1
Arnstein;Dina;Elev;Passord1
Julian;Michelle;Elev;Passord1
Gøran;Brita;Elev;Passord1
Ronald;Jannicke;Elev;Passord1
Jan-Erik;Ine;Elev;Passord1
Børre;Alexandra;Elev;Passord1
Agnar;Rebekka;Elev;Passord1
Axel;Oddny;Elev;Passord1
Edgar;Dagny;Elev;Passord1
Svend;Torild;Elev;Passord1
Ulrik;Marion;Elev;Passord1
Ingvald;Eldbjørg;Elev;Passord1
Yngvar;Ann-Kristin;Elev;Passord1
Didrik;Ada;Elev;Passord1
Kristen;Hildegunn;Elev;Passord1
Kaare;Madeleine;Elev;Passord1
Paal;Sofia;Elev;Passord1
Gabriel;Helena;Elev;Passord1
August;Greta;Elev;Passord1
Hallgeir;Tora;Elev;Passord1
Kyrre;Judith;Elev;Passord1
Theodor;Yvonne;Elev;Passord1
Jone;Elena;Elev;Passord1
Karstein;Natalie;Elev;Passord1
Tim;Mathea;Elev;Passord1
Albert;Nathalie;Elev;Passord1
Ragnvald;Ronja;Elev;Passord1
Ludvig;Oddbjørg;Elev;Passord1
Erland;Oddrun;Elev;Passord1
Klaus;Vivian;Elev;Passord1
Kay;Frøydis;Elev;Passord1
Eilif;Gina;Elev;Passord1
Mikal;Madelen;Elev;Passord1
Noah;Haldis;Elev;Passord1
Matias;Borgny;Elev;Passord1
Brede;Ragna;Elev;Passord1
Guttorm;Alma;Elev;Passord1
Ådne;Celina;Elev;Passord1
Ingolf;Laura;Elev;Passord1
Jøran;Andrine;Elev;Passord1
Konrad;Henny;Elev;Passord1
Jack;Josefine;Elev;Passord1
Eric;Solbjørg;Elev;Passord1
Arnulf;Lotte;Elev;Passord1
Bernhard;Rakel;Elev;Passord1
Tarjei;Ranveig;Elev;Passord1
Wilhelm;Arnhild;Elev;Passord1
Leon;Hildur;Elev;Passord1
Oddgeir;Lea;Elev;Passord1
Toralf;Louise;Elev;Passord1
Norvald;Stina;Elev;Passord1
Samuel;Mai;Elev;Passord1
Rene;Benedikte;Elev;Passord1
Hassan;Veronika;Elev;Passord1
Krister;Asbjørg;Elev;Passord1
Werner;Isabel;Elev;Passord1
Casper;Anne-Marie;Elev;Passord1
Hermann;Unn;Elev;Passord1
Omar;Iris;Elev;Passord1
Rolv;Petra;Elev;Passord1
Hjalmar;Natalia;Elev;Passord1
Nicholas;Inger-Lise;Elev;Passord1
Adam;Olivia;Elev;Passord1
Fritz;Oddveig;Elev;Passord1
Walter;Mille;Elev;Passord1
Hilmar;Margrete;Elev;Passord1
Sturla;Alice;Elev;Passord1
Charles;Margot;Elev;Passord1
Vemund;Ingjerd;Elev;Passord1
Fabian;Tanja;Elev;Passord1
Edmund;Annie;Elev;Passord1
Muhammad;Lone;Elev;Passord1
Torjus;Torbjørg;Elev;Passord1
Jahn;Kate;Elev;Passord1
Heine;Esther;Elev;Passord1
Brynjar;Sylvi;Elev;Passord1
Felix;Marina;Elev;Passord1
Lukas;Katarzyna;Elev;Passord1
Mustafa;Emily;Elev;Passord1
Njål;Isabell;Elev;Passord1
Torgrim;Sylvia;Elev;Passord1
Ibrahim;Alfhild;Elev;Passord1
Niels;Viktoria;Elev;Passord1
Torkel;Rannveig;Elev;Passord1
Torleiv;Gunnhild;Elev;Passord1
Abdul;Agnieszka;Elev;Passord1
Nicolay;Barbro;Elev;Passord1
Malvin;Erika;Elev;Passord1
Bo;Nelly;Elev;Passord1
Max;Magdalena;Elev;Passord1
Tron;May-Britt;Elev;Passord1
Villy;Isabella;Elev;Passord1
Brian;Margareth;Elev;Passord1
Morgan;Aleksandra;Elev;Passord1
Allan;Ylva;Elev;Passord1
Torger;Oline;Elev;Passord1
Hermod;Gjertrud;Elev;Passord1
Leo;Iren;Elev;Passord1
Carsten;Margaret;Elev;Passord1
Eldar;Mariell;Elev;Passord1
Jonatan;Christin;Elev;Passord1
Gunvald;Fatima;Elev;Passord1
Tage;Audhild;Elev;Passord1
Thorstein;Marlene;Elev;Passord1
Claus;Vivi;Elev;Passord1
Aron;Nadia;Elev;Passord1
Jørund;Hedvig;Elev;Passord1
Gerhard;Elizabeth;Elev;Passord1
Rudi;Siren;Elev;Passord1
Jimmy;Annika;Elev;Passord1
James;Anine;Elev;Passord1
Lars-Erik;Diana;Elev;Passord1
Rikard;Matilde;Elev;Passord1
Birk;Erle;Elev;Passord1
Søren;Kaia;Elev;Passord1
Elling;Sanna;Elev;Passord1
Håvar;Jorid;Elev;Passord1
Fridtjof;Runa;Elev;Passord1
Osvald;Mie;Elev;Passord1
Jann;Maya;Elev;Passord1
Amir;Gøril;Elev;Passord1
Lennart;Vanja;Elev;Passord1
Ahmad;Alva;Elev;Passord1
Josef;Annbjørg;Elev;Passord1
Ludvik;Katarina;Elev;Passord1
Patrik;Amina;Elev;Passord1
Jose;Nancy;Elev;Passord1
Thorvald;Sigrunn;Elev;Passord1
Ørnulf;Angelica;Elev;Passord1
Stephen;Thi;Elev;Passord1
Wiggo;Joanna;Elev;Passord1
Eigil;Elisabet;Elev;Passord1
Rudolf;Karine;Elev;Passord1
Abdi;Paula;Elev;Passord1
Ingebrigt;Ingvill;Elev;Passord1
Oddvin;Rønnaug;Elev;Passord1
Mattis;Norunn;Elev;Passord1
Sture;Asta;Elev;Passord1
Stephan;Ana;Elev;Passord1
Ben;Malgorzata;Elev;Passord1
Ansgar;Irina;Elev;Passord1
Frederik;Emilia;Elev;Passord1
Ole-Martin;Iben;Elev;Passord1
Lucas;Regine;Elev;Passord1
Alv;Oddlaug;Elev;Passord1
Eyvind;Connie;Elev;Passord1
Mehmet;Marielle;Elev;Passord1
Steven;Gerda;Elev;Passord1
Sigvald;Lovise;Elev;Passord1
Sølve;Barbara;Elev;Passord1
Torvald;Jeanett;Elev;Passord1
Ask;Lisbet;Elev;Passord1
Nicolas;Hilda;Elev;Passord1
Nicklas;Isabelle;Elev;Passord1
Eilert;Jessica;Elev;Passord1
Eskild;Sophie;Elev;Passord1
Normann;Melissa;Elev;Passord1
Baard;Elna;Elev;Passord1
Said;Cornelia;Elev;Passord1
Teodor;Venke;Elev;Passord1
Alan;Bergljot;Elev;Passord1
Esben;Herdis;Elev;Passord1
Andrew;Susann;Elev;Passord1
Mark;Anne-Grethe;Elev;Passord1
Syver;Adele;Elev;Passord1
Brynjulf;Milla;Elev;Passord1
Hans-Petter;Signy;Elev;Passord1
Aasmund;Mildrid;Elev;Passord1
Bror;Ulla;Elev;Passord1
Haldor;Elida;Elev;Passord1
Remy;Vanessa;Elev;Passord1
Steve;Åsta;Elev;Passord1
Joacim;Dagmar;Elev;Passord1
Mons;Ewa;Elev;Passord1
Hogne;Kristi;Elev;Passord1
Ingve;Harriet;Elev;Passord1
Torben;Julianne;Elev;Passord1
Ian;Valborg;Elev;Passord1
Eystein;Tomine;Elev;Passord1
Kaj;Karolina;Elev;Passord1
Halfdan;Terese;Elev;Passord1
Holger;Arna;Elev;Passord1
Alex;Stella;Elev;Passord1
Torje;Sanne;Elev;Passord1
Edward;Mali;Elev;Passord1
Ole-Kristian;Dagrun;Elev;Passord1
Adnan;Birthe;Elev;Passord1
Rino;Kitty;Elev;Passord1
Leander;Cecilia;Elev;Passord1
Gjert;Elina;Elev;Passord1
Kim-Andre;Margunn;Elev;Passord1
Syed;Maia;Elev;Passord1
Hasan;Brynhild;Elev;Passord1
Sigfred;Susan;Elev;Passord1
Lauritz;Katharina;Elev;Passord1
Osman;Bettina;Elev;Passord1
Carlos;Ann-Mari;Elev;Passord1
Hallstein;Tilde;Elev;Passord1
Jean;Beathe;Elev;Passord1
Ronnie;Alina;Elev;Passord1
Asmund;Liss;Elev;Passord1
Juan;Birte;Elev;Passord1
Frits;Jannike;Elev;Passord1
Marco;Carmen;Elev;Passord1
Gudbrand;Torun;Elev;Passord1
Luis;Elisa;Elev;Passord1
Ismail;Jennifer;Elev;Passord1
Svein-Erik;Mira;Elev;Passord1
Niclas;Kjerstin;Elev;Passord1
Torkild;Åsa;Elev;Passord1
Thanh;Thale;Elev;Passord1
Julius;Ingun;Elev;Passord1
Tonny;Åsne;Elev;Passord1
Khalid;Gunnvor;Elev;Passord1
Torkil;Eira;Elev;Passord1
Mattias;Linea;Elev;Passord1
Narve;Mariam;Elev;Passord1
Flemming;Idun;Elev;Passord1
Viljar;Christel;Elev;Passord1
Tom-Erik;Brith;Elev;Passord1
Annar;Maryam;Elev;Passord1
Anthony;Ulrikke;Elev;Passord1
Mario;Torgunn;Elev;Passord1
Per-Arne;Svetlana;Elev;Passord1
Kennet;Anne-Karin;Elev;Passord1
Olve;Amelia;Elev;Passord1
Scott;Una;Elev;Passord1
Frithjof;Inger-Johanne;Elev;Passord1
Tarald;Nanna;Elev;Passord1
Samir;Halldis;Elev;Passord1
Phillip;Aisha;Elev;Passord1
Tor-Erik;Veslemøy;Elev;Passord1
Kato;Anneli;Elev;Passord1
Hussein;Fanny;Elev;Passord1
Severin;Hermine;Elev;Passord1
Evald;Zahra;Elev;Passord1
Gorm;Gretha;Elev;Passord1
Joseph;Eileen;Elev;Passord1
Jonn;Beata;Elev;Passord1
Bjørn-Erik;Ågot;Elev;Passord1
Johann;Kim;Elev;Passord1
Laurits;Synøve;Elev;Passord1
Abdirahman;Gitte;Elev;Passord1
Sean;Tatiana;Elev;Passord1
Skjalg;Annlaug;Elev;Passord1
Jomar;Janicke;Elev;Passord1
Abdullah;Reidunn;Elev;Passord1
Bertil;Elvira;Elev;Passord1
Oddleif;Elly;Elev;Passord1
Benny;Alvhild;Elev;Passord1
Andres;Ann-Karin;Elev;Passord1
Leonard;Lydia;Elev;Passord1
Antonio;Rachel;Elev;Passord1
Martinus;Fride;Elev;Passord1
Torolf;Doris;Elev;Passord1
Thoralf;Erica;Elev;Passord1
Ahmet;Sina;Elev;Passord1
Bjørge;Agnete;Elev;Passord1
Theo;Pauline;Elev;Passord1
Fredrick;Renata;Elev;Passord1
Levi;Ingfrid;Elev;Passord1
Borgar;Ann-Helen;Elev;Passord1
Ferdinand;Aida;Elev;Passord1
Lorentz;Kristiane;Elev;Passord1
George;Embla;Elev;Passord1
Torodd;Solvor;Elev;Passord1
Arnljot;Sophia;Elev;Passord1
Abdullahi;Jill;Elev;Passord1
Jardar;Kari-Anne;Elev;Passord1
Thormod;Marian;Elev;Passord1
Bastian;Patricia;Elev;Passord1
Minh;Maj;Elev;Passord1
Sigvart;Ebba;Elev;Passord1
Hamza;Kjellrun;Elev;Passord1
Ole-Christian;Nicole;Elev;Passord1
Tor-Arne;Catharina;Elev;Passord1
Odvar;Ingerid;Elev;Passord1
Anfinn;Vilma;Elev;Passord1
Adolf;Tale;Elev;Passord1
Andrzej;Jolanta;Elev;Passord1
Ingmar;Anni;Elev;Passord1
Louis;Anett;Elev;Passord1
Mathis;Kjellfrid;Elev;Passord1
Ole-Petter;Daniela;Elev;Passord1
Christen;Kaisa;Elev;Passord1
Hamid;Eldrid;Elev;Passord1
Marvin;Katrin;Elev;Passord1
Olai;Elen;Elev;Passord1
Jarand;Silja;Elev;Passord1
Joel;Magda;Elev;Passord1
Halvdan;Alida;Elev;Passord1
Per-Erik;Kerstin;Elev;Passord1
Bilal;Lilli;Elev;Passord1
Piotr;Anne-Britt;Elev;Passord1
Vilhelm;Claudia;Elev;Passord1
Eddie;Alise;Elev;Passord1
Edin;Dorota;Elev;Passord1
Knud;Mirjam;Elev;Passord1
Gert;Marlen;Elev;Passord1
Oluf;Rose;Elev;Passord1
Artur;Lykke;Elev;Passord1
Ole-Jørgen;Catherine;Elev;Passord1
Yusuf;Yasmin;Elev;Passord1
Tønnes;Sigfrid;Elev;Passord1
Krzysztof;Paulina;Elev;Passord1
Reinert;Katja;Elev;Passord1
Ted;Luna;Elev;Passord1
Nikolas;Nicoline;Elev;Passord1
Noralf;Sol;Elev;Passord1
Øyvin;Simone;Elev;Passord1
Halvar;Silvia;Elev;Passord1
Vincent;Adriana;Elev;Passord1
Enok;Frøya;Elev;Passord1
Herbjørn;Snefrid;Elev;Passord1
Linus;Sylwia;Elev;Passord1
Sam;Samira;Elev;Passord1
Widar;Catrine;Elev;Passord1
Jamal;Betty;Elev;Passord1
Erich;Thora;Elev;Passord1
Gunder;Anne-Grete;Elev;Passord1
Joen;Irmelin;Elev;Passord1
Gulbrand;Elzbieta;Elev;Passord1
Michel;Ann-Christin;Elev;Passord1
Tosten;Gudny;Elev;Passord1
Poul;Angela;Elev;Passord1
Ellev;Vilja;Elev;Passord1
Siur;Elfrid;Elev;Passord1
Arent;Juliane;Elev;Passord1
Biørn;Solvår;Elev;Passord1
Haagen;Lin;Elev;Passord1
Hendrich;Anlaug;Elev;Passord1
Abraham;Jofrid;Elev;Passord1
Johanes;Dorthe;Elev;Passord1
Henrich;Agnethe;Elev;Passord1
